          table_name          | total_columns | indexes_soft_delete 
------------------------------+---------------+---------------------
 adm_member_roles             |            20 |                   1
 adm_members                  |            27 |                   7
 adm_provider_employees       |            16 |                   3
 adm_roles                    |            21 |                   4
 adm_tenant_vehicle_classes   |            16 |                   0
 adm_tenants                  |            18 |                   0
 bil_billing_plans            |            28 |                   2
 bil_payment_methods          |            27 |                   2
 bil_tenant_invoice_lines     |            20 |                   1
 bil_tenant_invoices          |            28 |                   2
 bil_tenant_subscriptions     |            27 |                   3
 bil_tenant_usage_metrics     |            21 |                   1
 crm_contracts                |            39 |                   2
 crm_leads                    |            45 |                   4
 crm_opportunities            |            30 |                   2
 dir_car_makes                |            17 |                   1
 dir_car_models               |            25 |                   0
 dir_country_regulations      |            28 |                   0
 dir_maintenance_types        |            20 |                   0
 dir_ownership_types          |            19 |                   0
 dir_platform_configs         |            20 |                   0
 dir_platforms                |            17 |                   0
 dir_vehicle_classes          |            27 |                   0
 dir_vehicle_statuses         |            22 |                   0
 doc_document_types           |            19 |                   0
 doc_documents                |            29 |                   0
 doc_entity_types             |            12 |                   0
 fin_accounts                 |            26 |                   2
 fin_driver_payment_batches   |            27 |                   2
 fin_driver_payments          |            29 |                   3
 fin_toll_transactions        |            23 |                   1
 fin_traffic_fines            |            29 |                   2
 fin_transactions             |            30 |                   3
 flt_vehicle_assignments      |            34 |                   5
 flt_vehicle_equipments       |            31 |                   0
 flt_vehicle_events           |            34 |                   2
 flt_vehicle_expenses         |            55 |                   3
 flt_vehicle_insurances       |            65 |                   4
 flt_vehicle_maintenance      |            57 |                   0
 flt_vehicles                 |            52 |                   7
 rev_driver_revenues          |            24 |                   1
 rev_reconciliations          |            26 |                   2
 rev_revenue_imports          |            29 |                   2
 rid_driver_blacklists        |            48 |                   2
 rid_driver_cooperation_terms |            43 |                   1
 rid_driver_documents         |            32 |                   3
 rid_driver_languages         |            12 |                   2
 rid_driver_performances      |            52 |                   1
 rid_driver_requests          |            45 |                   2
 rid_driver_training          |            62 |                   2
 rid_drivers                  |            67 |                  11
 sch_goal_types               |            21 |                   0
 sch_goals                    |            38 |                   3
 sch_locations                |            17 |                   0
 sch_maintenance_schedules    |            31 |                   2
 sch_shift_types              |            15 |                   0
 sch_shifts                   |            28 |                   5
 sch_task_types               |            21 |                   0
 sch_tasks                    |            47 |                   3
 sup_customer_feedback        |            26 |                   9
 sup_ticket_messages          |            22 |                   3
 sup_tickets                  |            27 |                  10
 trp_client_invoices          |            25 |                   2
 trp_platform_accounts        |            20 |                   2
 trp_settlements              |            32 |                   3
 trp_trips                    |            53 |                   4
(66 rows)

