          table_name          |        column_name         |        data_type         | category 
------------------------------+----------------------------+--------------------------+----------
 adm_tenant_vehicle_classes   | code                       | character varying        | CODE
 adm_tenants                  | country_code               | character varying        | CODE
 bil_billing_plans            | plan_code                  | character varying        | CODE
 crm_contracts                | contract_code              | text                     | CODE
 crm_leads                    | country_code               | character varying        | CODE
 crm_leads                    | lead_code                  | character varying        | CODE
 dir_car_makes                | code                       | character varying        | CODE
 dir_car_models               | code                       | character varying        | CODE
 dir_country_regulations      | country_code               | character                | CODE
 dir_maintenance_types        | code                       | character varying        | CODE
 dir_ownership_types          | code                       | character varying        | CODE
 dir_platforms                | code                       | character varying        | CODE
 dir_vehicle_classes          | code                       | character varying        | CODE
 dir_vehicle_classes          | country_code               | character                | CODE
 dir_vehicle_statuses         | code                       | character varying        | CODE
 doc_document_types           | code                       | character varying        | CODE
 doc_entity_types             | code                       | character varying        | CODE
 flt_vehicles                 | country_code               | character                | CODE
 rid_driver_languages         | language_code              | character                | CODE
 rid_driver_training          | budget_code                | character varying        | CODE
 rid_drivers                  | bank_swift_code            | character varying        | CODE
 rid_drivers                  | country_code               | character                | CODE
 rid_drivers                  | postal_code                | character varying        | CODE
 sch_goal_types               | code                       | character varying        | CODE
 sch_locations                | code                       | character varying        | CODE
 sch_shift_types              | code                       | character varying        | CODE
 sch_shift_types              | color_code                 | character varying        | CODE
 sch_task_types               | code                       | character varying        | CODE
 adm_member_roles             | member_id                  | uuid                     | FK
 adm_member_roles             | role_id                    | uuid                     | FK
 adm_member_roles             | scope_id                   | uuid                     | FK
 adm_members                  | clerk_user_id              | character varying        | FK
 adm_members                  | default_role_id            | uuid                     | FK
 adm_provider_employees       | clerk_user_id              | character varying        | FK
 adm_provider_employees       | supervisor_id              | uuid                     | FK
 adm_roles                    | parent_role_id             | uuid                     | FK
 adm_tenant_vehicle_classes   | based_on_class_id          | uuid                     | FK
 adm_tenants                  | clerk_organization_id      | text                     | FK
 bil_payment_methods          | provider_payment_method_id | text                     | FK
 bil_tenant_invoice_lines     | invoice_id                 | uuid                     | FK
 bil_tenant_invoice_lines     | source_id                  | uuid                     | FK
 bil_tenant_invoices          | amount_paid                | numeric                  | FK
 bil_tenant_invoices          | stripe_invoice_id          | character varying        | FK
 bil_tenant_invoices          | subscription_id            | uuid                     | FK
 bil_tenant_subscriptions     | payment_method_id          | uuid                     | FK
 bil_tenant_subscriptions     | plan_id                    | uuid                     | FK
 bil_tenant_subscriptions     | previous_plan_id           | uuid                     | FK
 bil_tenant_subscriptions     | provider_customer_id       | text                     | FK
 bil_tenant_subscriptions     | provider_subscription_id   | text                     | FK
 bil_tenant_usage_metrics     | subscription_id            | uuid                     | FK
 crm_contracts                | billing_address_id         | uuid                     | FK
 crm_contracts                | lead_id                    | uuid                     | FK
 crm_contracts                | opportunity_id             | uuid                     | FK
 crm_contracts                | plan_id                    | uuid                     | FK
 crm_contracts                | renewed_from_contract_id   | uuid                     | FK
 crm_contracts                | subscription_id            | uuid                     | FK
 crm_leads                    | opportunity_id             | uuid                     | FK
 crm_leads                    | source_id                  | uuid                     | FK
 crm_opportunities            | contract_id                | uuid                     | FK
 crm_opportunities            | lead_id                    | uuid                     | FK
 crm_opportunities            | loss_reason_id             | uuid                     | FK
 crm_opportunities            | owner_id                   | uuid                     | FK
 crm_opportunities            | pipeline_id                | uuid                     | FK
 crm_opportunities            | plan_id                    | uuid                     | FK
 dir_car_models               | make_id                    | uuid                     | FK
 dir_car_models               | vehicle_class_id           | uuid                     | FK
 dir_country_regulations      | min_vehicle_class_id       | uuid                     | FK
 dir_platform_configs         | platform_id                | uuid                     | FK
 doc_documents                | entity_id                  | uuid                     | FK
 fin_accounts                 | provider_account_id        | text                     | FK
 fin_driver_payment_batches   | payout_account_id          | uuid                     | FK
 fin_driver_payments          | driver_id                  | uuid                     | FK
 fin_driver_payments          | payment_batch_id           | uuid                     | FK
 fin_driver_payments          | payout_account_id          | uuid                     | FK
 fin_toll_transactions        | driver_id                  | uuid                     | FK
 fin_toll_transactions        | driver_payment_id          | uuid                     | FK
 fin_toll_transactions        | payment_batch_id           | uuid                     | FK
 fin_toll_transactions        | toll_gate_id               | uuid                     | FK
 fin_toll_transactions        | trip_id                    | uuid                     | FK
 fin_toll_transactions        | vehicle_id                 | uuid                     | FK
 fin_traffic_fines            | dispute_id                 | uuid                     | FK
 fin_traffic_fines            | driver_id                  | uuid                     | FK
 fin_traffic_fines            | driver_payment_id          | uuid                     | FK
 fin_traffic_fines            | payment_method_id          | uuid                     | FK
 fin_traffic_fines            | vehicle_id                 | uuid                     | FK
 fin_transactions             | account_id                 | uuid                     | FK
 fin_transactions             | category_id                | uuid                     | FK
 fin_transactions             | counterparty_account_id    | uuid                     | FK
 fin_transactions             | entity_id                  | uuid                     | FK
 fin_transactions             | payment_method_id          | uuid                     | FK
 flt_vehicle_assignments      | driver_id                  | uuid                     | FK
 flt_vehicle_assignments      | vehicle_id                 | uuid                     | FK
 flt_vehicle_equipments       | current_assignment_id      | uuid                     | FK
 flt_vehicle_equipments       | vehicle_id                 | uuid                     | FK
 flt_vehicle_events           | assignment_id              | uuid                     | FK
 flt_vehicle_events           | driver_id                  | uuid                     | FK
 flt_vehicle_events           | insurance_claim_id         | uuid                     | FK
 flt_vehicle_events           | repair_invoice_id          | uuid                     | FK
 flt_vehicle_events           | repair_shop_id             | uuid                     | FK
 flt_vehicle_events           | ride_id                    | uuid                     | FK
 flt_vehicle_events           | vehicle_id                 | uuid                     | FK
 flt_vehicle_expenses         | cost_center_id             | uuid                     | FK
 flt_vehicle_expenses         | driver_id                  | uuid                     | FK
 flt_vehicle_expenses         | payment_batch_id           | uuid                     | FK
 flt_vehicle_expenses         | reimbursed_in_batch_id     | uuid                     | FK
 flt_vehicle_expenses         | ride_id                    | uuid                     | FK
 flt_vehicle_expenses         | vehicle_id                 | uuid                     | FK
 flt_vehicle_insurances       | broker_id                  | uuid                     | FK
 flt_vehicle_insurances       | parent_policy_id           | uuid                     | FK
 flt_vehicle_insurances       | vehicle_id                 | uuid                     | FK
 flt_vehicle_maintenance      | garage_id                  | uuid                     | FK
 flt_vehicle_maintenance      | vehicle_id                 | uuid                     | FK
 flt_vehicles                 | make_id                    | uuid                     | FK
 flt_vehicles                 | model_id                   | uuid                     | FK
 flt_vehicles                 | owner_id                   | uuid                     | FK
 flt_vehicles                 | vehicle_class_id           | uuid                     | FK
 rev_driver_revenues          | driver_id                  | uuid                     | FK
 rev_driver_revenues          | import_id                  | uuid                     | FK
 rev_driver_revenues          | platform_id                | uuid                     | FK
 rev_reconciliations          | driver_id                  | uuid                     | FK
 rev_reconciliations          | import_id                  | uuid                     | FK
 rev_revenue_imports          | platform_id                | uuid                     | FK
 rid_driver_blacklists        | driver_id                  | uuid                     | FK
 rid_driver_cooperation_terms | driver_id                  | uuid                     | FK
 rid_driver_cooperation_terms | previous_version_id        | uuid                     | FK
 rid_driver_documents         | document_id                | uuid                     | FK
 rid_driver_documents         | driver_id                  | uuid                     | FK
 rid_driver_documents         | replaced_document_id       | uuid                     | FK
 rid_driver_languages         | driver_id                  | uuid                     | FK
 rid_driver_performances      | driver_id                  | uuid                     | FK
 rid_driver_performances      | platform_id                | uuid                     | FK
 rid_driver_requests          | driver_id                  | uuid                     | FK
 rid_driver_training          | driver_id                  | uuid                     | FK
 rid_driver_training          | provider_id                | uuid                     | FK
 rid_drivers                  | emirates_id                | character varying        | FK
 sch_goals                    | target_entity_id           | uuid                     | FK
 sch_maintenance_schedules    | completed_maintenance_id   | uuid                     | FK
 sch_maintenance_schedules    | vehicle_id                 | uuid                     | FK
 sch_shifts                   | driver_id                  | uuid                     | FK
 sch_shifts                   | location_id                | uuid                     | FK
 sch_shifts                   | replacement_driver_id      | uuid                     | FK
 sch_tasks                    | parent_task_id             | uuid                     | FK
 sch_tasks                    | related_entity_id          | uuid                     | FK
 sch_tasks                    | target_id                  | uuid                     | FK
 sup_customer_feedback        | driver_id                  | uuid                     | FK
 sup_customer_feedback        | ticket_id                  | uuid                     | FK
 sup_ticket_messages          | parent_message_id          | uuid                     | FK
 sup_ticket_messages          | sender_id                  | uuid                     | FK
 sup_ticket_messages          | ticket_id                  | uuid                     | FK
 trp_client_invoices          | client_id                  | uuid                     | FK
 trp_client_invoices          | pricing_plan_id            | uuid                     | FK
 trp_platform_accounts        | platform_id                | uuid                     | FK
 trp_settlements              | platform_account_id        | uuid                     | FK
 trp_settlements              | platform_settlement_id     | character varying        | FK
 trp_settlements              | reconciliation_id          | uuid                     | FK
 trp_settlements              | trip_id                    | uuid                     | FK
 trp_trips                    | client_id                  | uuid                     | FK
 trp_trips                    | driver_id                  | uuid                     | FK
 trp_trips                    | platform_account_id        | uuid                     | FK
 trp_trips                    | platform_id                | uuid                     | FK
 trp_trips                    | platform_trip_id           | character varying        | FK
 trp_trips                    | vehicle_id                 | uuid                     | FK
 adm_members                  | status                     | character varying        | STATUS
 adm_provider_employees       | status                     | character varying        | STATUS
 adm_roles                    | status                     | character varying        | STATUS
 adm_tenant_vehicle_classes   | status                     | USER-DEFINED             | STATUS
 adm_tenants                  | status                     | USER-DEFINED             | STATUS
 bil_billing_plans            | status                     | text                     | STATUS
 bil_billing_plans            | status_v2                  | USER-DEFINED             | STATUS
 bil_payment_methods          | status                     | text                     | STATUS
 bil_payment_methods          | status_v2                  | USER-DEFINED             | STATUS
 bil_tenant_invoices          | status                     | text                     | STATUS
 bil_tenant_invoices          | status_v2                  | USER-DEFINED             | STATUS
 bil_tenant_subscriptions     | status                     | text                     | STATUS
 bil_tenant_subscriptions     | status_v2                  | USER-DEFINED             | STATUS
 crm_contracts                | status                     | text                     | STATUS
 crm_leads                    | status                     | text                     | STATUS
 crm_opportunities            | status                     | USER-DEFINED             | STATUS
 dir_car_makes                | status                     | USER-DEFINED             | STATUS
 dir_car_models               | status                     | USER-DEFINED             | STATUS
 dir_country_regulations      | status                     | USER-DEFINED             | STATUS
 dir_platforms                | status                     | USER-DEFINED             | STATUS
 dir_vehicle_classes          | status                     | USER-DEFINED             | STATUS
 dir_vehicle_statuses         | blocking_status            | boolean                  | STATUS
 doc_documents                | status                     | USER-DEFINED             | STATUS
 doc_documents                | verification_status        | USER-DEFINED             | STATUS
 fin_accounts                 | status                     | USER-DEFINED             | STATUS
 fin_driver_payment_batches   | status                     | text                     | STATUS
 fin_driver_payment_batches   | status_reason              | text                     | STATUS
 fin_driver_payments          | status                     | text                     | STATUS
 fin_driver_payments          | status_reason              | text                     | STATUS
 fin_toll_transactions        | status                     | USER-DEFINED             | STATUS
 fin_traffic_fines            | status                     | text                     | STATUS
 fin_transactions             | status                     | text                     | STATUS
