 schemaname |          tablename           |                            indexname                            |                                                                                                      indexdef                                                                                                      
------------+------------------------------+-----------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 public     | adm_member_roles             | adm_member_roles_tenant_id_member_id_role_id_key                | CREATE UNIQUE INDEX adm_member_roles_tenant_id_member_id_role_id_key ON public.adm_member_roles USING btree (tenant_id, member_id, role_id) WHERE (deleted_at IS NULL)
 public     | adm_members                  | adm_members_status_active_idx                                   | CREATE INDEX adm_members_status_active_idx ON public.adm_members USING btree (status) WHERE (deleted_at IS NULL)
 public     | adm_members                  | adm_members_tenant_clerk_uq                                     | CREATE UNIQUE INDEX adm_members_tenant_clerk_uq ON public.adm_members USING btree (tenant_id, clerk_user_id) WHERE (deleted_at IS NULL)
 public     | adm_members                  | adm_members_tenant_email_uq                                     | CREATE UNIQUE INDEX adm_members_tenant_email_uq ON public.adm_members USING btree (tenant_id, email) WHERE (deleted_at IS NULL)
 public     | adm_members                  | idx_adm_members_email                                           | CREATE INDEX idx_adm_members_email ON public.adm_members USING btree (email) WHERE (deleted_at IS NULL)
 public     | adm_members                  | idx_adm_members_role                                            | CREATE INDEX idx_adm_members_role ON public.adm_members USING btree (default_role_id) WHERE (deleted_at IS NULL)
 public     | adm_members                  | idx_adm_members_tenant                                          | CREATE INDEX idx_adm_members_tenant ON public.adm_members USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | adm_members                  | idx_adm_members_tenant_email                                    | CREATE UNIQUE INDEX idx_adm_members_tenant_email ON public.adm_members USING btree (tenant_id, email) WHERE (deleted_at IS NULL)
 public     | adm_provider_employees       | adm_provider_employees_clerk_user_id_uq                         | CREATE UNIQUE INDEX adm_provider_employees_clerk_user_id_uq ON public.adm_provider_employees USING btree (clerk_user_id) WHERE (deleted_at IS NULL)
 public     | adm_provider_employees       | adm_provider_employees_email_uq                                 | CREATE UNIQUE INDEX adm_provider_employees_email_uq ON public.adm_provider_employees USING btree (email) WHERE (deleted_at IS NULL)
 public     | adm_provider_employees       | adm_provider_employees_status_active_idx                        | CREATE INDEX adm_provider_employees_status_active_idx ON public.adm_provider_employees USING btree (status) WHERE (deleted_at IS NULL)
 public     | adm_roles                    | adm_roles_status_active_idx                                     | CREATE INDEX adm_roles_status_active_idx ON public.adm_roles USING btree (status) WHERE (deleted_at IS NULL)
 public     | adm_roles                    | adm_roles_tenant_name_uq                                        | CREATE UNIQUE INDEX adm_roles_tenant_name_uq ON public.adm_roles USING btree (tenant_id, name) WHERE (deleted_at IS NULL)
 public     | adm_roles                    | idx_adm_roles_tenant                                            | CREATE INDEX idx_adm_roles_tenant ON public.adm_roles USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | adm_roles                    | idx_adm_roles_tenant_name                                       | CREATE UNIQUE INDEX idx_adm_roles_tenant_name ON public.adm_roles USING btree (tenant_id, name) WHERE (deleted_at IS NULL)
 public     | bil_billing_plans            | bil_billing_plans_plan_name_key                                 | CREATE UNIQUE INDEX bil_billing_plans_plan_name_key ON public.bil_billing_plans USING btree (plan_name) WHERE (deleted_at IS NULL)
 public     | bil_billing_plans            | bil_billing_plans_status_idx                                    | CREATE INDEX bil_billing_plans_status_idx ON public.bil_billing_plans USING btree (status) WHERE (deleted_at IS NULL)
 public     | bil_payment_methods          | bil_payment_methods_status_active_idx                           | CREATE INDEX bil_payment_methods_status_active_idx ON public.bil_payment_methods USING btree (status) WHERE (deleted_at IS NULL)
 public     | bil_payment_methods          | bil_payment_methods_tenant_id_payment_type_unique               | CREATE UNIQUE INDEX bil_payment_methods_tenant_id_payment_type_unique ON public.bil_payment_methods USING btree (tenant_id, payment_type) WHERE (deleted_at IS NULL)
 public     | bil_tenant_invoice_lines     | bil_tenant_invoice_lines_invoice_id_description_unique          | CREATE UNIQUE INDEX bil_tenant_invoice_lines_invoice_id_description_unique ON public.bil_tenant_invoice_lines USING btree (invoice_id, description) WHERE (deleted_at IS NULL)
 public     | bil_tenant_invoices          | bil_tenant_invoices_status_idx                                  | CREATE INDEX bil_tenant_invoices_status_idx ON public.bil_tenant_invoices USING btree (status) WHERE (deleted_at IS NULL)
 public     | bil_tenant_invoices          | bil_tenant_invoices_tenant_id_invoice_number_key                | CREATE UNIQUE INDEX bil_tenant_invoices_tenant_id_invoice_number_key ON public.bil_tenant_invoices USING btree (tenant_id, invoice_number) WHERE (deleted_at IS NULL)
 public     | bil_tenant_subscriptions     | bil_tenant_subscriptions_status_idx                             | CREATE INDEX bil_tenant_subscriptions_status_idx ON public.bil_tenant_subscriptions USING btree (status) WHERE (deleted_at IS NULL)
 public     | bil_tenant_subscriptions     | bil_tenant_subscriptions_tenant_id_plan_id_key                  | CREATE UNIQUE INDEX bil_tenant_subscriptions_tenant_id_plan_id_key ON public.bil_tenant_subscriptions USING btree (tenant_id, plan_id) WHERE (deleted_at IS NULL)
 public     | bil_tenant_subscriptions     | idx_bil_tenant_subscriptions_tenant                             | CREATE INDEX idx_bil_tenant_subscriptions_tenant ON public.bil_tenant_subscriptions USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | bil_tenant_usage_metrics     | bil_tenant_usage_metrics_tenant_id_metric_name_period_start_key | CREATE UNIQUE INDEX bil_tenant_usage_metrics_tenant_id_metric_name_period_start_key ON public.bil_tenant_usage_metrics USING btree (tenant_id, metric_name, period_start) WHERE (deleted_at IS NULL)
 public     | crm_contracts                | crm_contracts_status_active_idx                                 | CREATE INDEX crm_contracts_status_active_idx ON public.crm_contracts USING btree (status) WHERE (deleted_at IS NULL)
 public     | crm_contracts                | idx_crm_contracts_tenant                                        | CREATE INDEX idx_crm_contracts_tenant ON public.crm_contracts USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | crm_leads                    | crm_leads_assigned_to_idx                                       | CREATE INDEX crm_leads_assigned_to_idx ON public.crm_leads USING btree (assigned_to) WHERE (deleted_at IS NULL)
 public     | crm_leads                    | crm_leads_country_code_idx                                      | CREATE INDEX crm_leads_country_code_idx ON public.crm_leads USING btree (country_code) WHERE (deleted_at IS NULL)
 public     | crm_leads                    | crm_leads_email_unique_active                                   | CREATE UNIQUE INDEX crm_leads_email_unique_active ON public.crm_leads USING btree (email) WHERE (deleted_at IS NULL)
 public     | crm_leads                    | idx_crm_leads_status                                            | CREATE INDEX idx_crm_leads_status ON public.crm_leads USING btree (status) WHERE (deleted_at IS NULL)
 public     | crm_opportunities            | crm_opportunities_opportunity_stage_idx                         | CREATE INDEX crm_opportunities_opportunity_stage_idx ON public.crm_opportunities USING btree (stage) WHERE (deleted_at IS NULL)
 public     | crm_opportunities            | idx_crm_opportunities_lead                                      | CREATE INDEX idx_crm_opportunities_lead ON public.crm_opportunities USING btree (lead_id) WHERE (deleted_at IS NULL)
 public     | dir_car_makes                | dir_car_makes_tenant_name_uq                                    | CREATE UNIQUE INDEX dir_car_makes_tenant_name_uq ON public.dir_car_makes USING btree (tenant_id, name) WHERE (deleted_at IS NULL)
 public     | fin_accounts                 | idx_fin_accounts_tenant                                         | CREATE INDEX idx_fin_accounts_tenant ON public.fin_accounts USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | fin_accounts                 | idx_fin_accounts_tenant_account_unique                          | CREATE UNIQUE INDEX idx_fin_accounts_tenant_account_unique ON public.fin_accounts USING btree (tenant_id, account_name) WHERE (deleted_at IS NULL)
 public     | fin_driver_payment_batches   | fin_driver_payment_batches_status_active_idx                    | CREATE INDEX fin_driver_payment_batches_status_active_idx ON public.fin_driver_payment_batches USING btree (status) WHERE (deleted_at IS NULL)
 public     | fin_driver_payment_batches   | fin_driver_payment_batches_tenant_batch_ref_unique              | CREATE UNIQUE INDEX fin_driver_payment_batches_tenant_batch_ref_unique ON public.fin_driver_payment_batches USING btree (tenant_id, batch_reference) WHERE (deleted_at IS NULL)
