          table_name          | column_name |        data_type         
------------------------------+-------------+--------------------------
 adm_member_roles             | deleted_at  | timestamp with time zone
 adm_members                  | deleted_at  | timestamp with time zone
 adm_provider_employees       | deleted_at  | timestamp with time zone
 adm_roles                    | deleted_at  | timestamp with time zone
 adm_tenant_vehicle_classes   | deleted_at  | timestamp with time zone
 adm_tenants                  | deleted_at  | timestamp with time zone
 bil_billing_plans            | deleted_at  | timestamp with time zone
 bil_payment_methods          | deleted_at  | timestamp with time zone
 bil_tenant_invoice_lines     | deleted_at  | timestamp with time zone
 bil_tenant_invoices          | deleted_at  | timestamp with time zone
 bil_tenant_subscriptions     | deleted_at  | timestamp with time zone
 bil_tenant_usage_metrics     | deleted_at  | timestamp with time zone
 crm_contracts                | deleted_at  | timestamp with time zone
 crm_leads                    | deleted_at  | timestamp with time zone
 crm_opportunities            | deleted_at  | timestamp with time zone
 dir_car_makes                | deleted_at  | timestamp with time zone
 dir_car_models               | deleted_at  | timestamp with time zone
 dir_country_regulations      | deleted_at  | timestamp with time zone
 dir_maintenance_types        | deleted_at  | timestamp with time zone
 dir_ownership_types          | deleted_at  | timestamp with time zone
 dir_platform_configs         | deleted_at  | timestamp with time zone
 dir_platforms                | deleted_at  | timestamp with time zone
 dir_vehicle_classes          | deleted_at  | timestamp with time zone
 dir_vehicle_statuses         | deleted_at  | timestamp with time zone
 doc_document_types           | deleted_at  | timestamp with time zone
 doc_documents                | deleted_at  | timestamp with time zone
 doc_entity_types             | deleted_at  | timestamp with time zone
 fin_accounts                 | deleted_at  | timestamp with time zone
 fin_driver_payment_batches   | deleted_at  | timestamp with time zone
 fin_driver_payments          | deleted_at  | timestamp with time zone
 fin_toll_transactions        | deleted_at  | timestamp with time zone
 fin_traffic_fines            | deleted_at  | timestamp with time zone
 fin_transactions             | deleted_at  | timestamp with time zone
 flt_vehicle_assignments      | deleted_at  | timestamp with time zone
 flt_vehicle_equipments       | deleted_at  | timestamp with time zone
 flt_vehicle_events           | deleted_at  | timestamp with time zone
 flt_vehicle_expenses         | deleted_at  | timestamp with time zone
 flt_vehicle_insurances       | deleted_at  | timestamp with time zone
 flt_vehicle_maintenance      | deleted_at  | timestamp with time zone
 flt_vehicles                 | deleted_at  | timestamp with time zone
 rev_driver_revenues          | deleted_at  | timestamp with time zone
 rev_reconciliations          | deleted_at  | timestamp with time zone
 rev_revenue_imports          | deleted_at  | timestamp with time zone
 rid_driver_blacklists        | deleted_at  | timestamp with time zone
 rid_driver_cooperation_terms | deleted_at  | timestamp with time zone
 rid_driver_documents         | deleted_at  | timestamp with time zone
 rid_driver_languages         | deleted_at  | timestamp with time zone
 rid_driver_performances      | deleted_at  | timestamp with time zone
 rid_driver_requests          | deleted_at  | timestamp with time zone
 rid_driver_training          | deleted_at  | timestamp with time zone
 rid_drivers                  | deleted_at  | timestamp with time zone
 sch_goal_types               | deleted_at  | timestamp with time zone
 sch_goals                    | deleted_at  | timestamp with time zone
 sch_locations                | deleted_at  | timestamp with time zone
 sch_maintenance_schedules    | deleted_at  | timestamp with time zone
 sch_shift_types              | deleted_at  | timestamp with time zone
 sch_shifts                   | deleted_at  | timestamp with time zone
 sch_task_types               | deleted_at  | timestamp with time zone
 sch_tasks                    | deleted_at  | timestamp with time zone
 sup_customer_feedback        | deleted_at  | timestamp with time zone
 sup_ticket_messages          | deleted_at  | timestamp with time zone
 sup_tickets                  | deleted_at  | timestamp with time zone
 trp_client_invoices          | deleted_at  | timestamp with time zone
 trp_platform_accounts        | deleted_at  | timestamp with time zone
 trp_settlements              | deleted_at  | timestamp with time zone
 trp_trips                    | deleted_at  | timestamp with time zone
(66 rows)

